From	Entry	Entry Name	Protein names	Gene Names	Organism
"P09972	Fructose-bisphosphate aldolase C"	P09972	ALDOC_HUMAN	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	Homo sapiens (Human)
"O60547	GDP-mannose 4,6 dehydratase"	O60547	GMDS_HUMAN	GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase (GMD))	GMDS	Homo sapiens (Human)
"P11413	Glucose-6-phosphate 1-dehydrogenase"	P11413	G6PD_HUMAN	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.-.-.-) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)
"P06744	Glucose-6-phosphate isomerase"	P06744	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor (AMF)) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase (EC 5.1.3.-)) (Neuroleukin (NLK)) (Phosphoglucose isomerase (PGI)) (Phosphohexose isomerase (PHI)) (Sperm antigen 36 (SA-36))	GPI	Homo sapiens (Human)
"Q6IA69	Glutamine-dependent NAD(+) synthetase"	Q6IA69	NADE_HUMAN	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase)	NADSYN1	Homo sapiens (Human)
"P35754	Glutaredoxin-1"	P35754	GLRX1_HUMAN	Glutaredoxin-1 (Thioltransferase-1 (TTase-1))	GLRX GRX	Homo sapiens (Human)
"O76003	Glutaredoxin-3"	O76003	GLRX3_HUMAN	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin (PICOT)) (PKC-theta-interacting protein (PKCq-interacting protein)) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2	Homo sapiens (Human)
"P00390	Glutathione reductase, mitochondrial"	P00390	GSHR_HUMAN	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)
"A0A0C4DFM0	Glutathione transferase zeta 1 (Maleylacetoacetate isomerase), isoform CRA_c"	A0A0C4DFM0	A0A0C4DFM0_HUMAN	Maleylacetoacetate isomerase (EC 2.5.1.18) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1)	GSTZ1	Homo sapiens (Human)
"P04406	Glyceraldehyde-3-phosphate dehydrogenase"	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH (EC 2.6.99.-))	GAPDH GAPD	Homo sapiens (Human)
"A6NDG6	Glycerol-3-phosphate phosphatase"	A6NDG6	PGP_HUMAN	Phosphoglycolate phosphatase (EC 3.1.3.18) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase (AUM) (EC 3.1.3.48)) (Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21))	PGP	Homo sapiens (Human)
"Q92643	GPI-anchor transamidase"	Q92643	GPI8_HUMAN	GPI-anchor transamidase (EC 2.6.1.-) (GPI-anchor transamidase component PIGK, catalytic subunit) (GPI8 homolog (hGPI8)) (Phosphatidylinositol-glycan biosynthesis class K protein (PIG-K))	PIGK GPI8	Homo sapiens (Human)
"Q96CN9	GRIP and coiled-coil domain-containing protein 1"	Q96CN9	GCC1_HUMAN	GRIP and coiled-coil domain-containing protein 1 (Golgi coiled-coil protein 1)	GCC1	Homo sapiens (Human)
"Q8IWJ2	GRIP and coiled-coil domain-containing protein 2"	Q8IWJ2	GCC2_HUMAN	GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein (GCC185)) (CLL-associated antigen KW-11) (CTCL tumor antigen se1-1) (Ran-binding protein 2-like 4 (RanBP2L4)) (Renal carcinoma antigen NY-REN-53)	GCC2 KIAA0336 RANBP2L4	Homo sapiens (Human)
"P62993	Growth factor receptor-bound protein 2"	P62993	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)
"Q9HAV7	GrpE protein homolog 1, mitochondrial"	Q9HAV7	GRPE1_HUMAN	GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)	GRPEL1 GREPEL1	Homo sapiens (Human)
"Q9BXW7	Haloacid dehalogenase-like hydrolase domain-containing 5"	Q9BXW7	HDHD5_HUMAN	Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5)	HDHD5 CECR5	Homo sapiens (Human)
"O94927	HAUS augmin-like complex subunit 5"	O94927	HAUS5_HUMAN	HAUS augmin-like complex subunit 5	HAUS5 KIAA0841	Homo sapiens (Human)
"P34932	Heat shock 70 kDa protein 4"	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2) (Heat shock protein family H member 2)	HSPA4 APG2 HSPH2	Homo sapiens (Human)
"E9PM13	Heat shock cognate 71 kDa protein (Fragment)"	E9PM13	E9PM13_HUMAN	Heat shock protein family A (Hsp70) member 8	HSPA8	Homo sapiens (Human)
"P11142	Heat shock cognate 71 kDa protein"	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1 (LAP-1) (LPS-associated protein 1))	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)
"Q92598	Heat shock protein 105 kDa"	Q92598	HS105_HUMAN	Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein) (Heat shock protein family H member 1)	HSPH1 HSP105 HSP110 KIAA0201	Homo sapiens (Human)
"Q14568	Heat shock protein HSP 90-alpha A2"	Q14568	HS902_HUMAN	Heat shock protein HSP 90-alpha A2 (Heat shock 90 kDa protein 1 alpha-like 3) (Heat shock protein HSP 90-alpha A2 pseudogene) (Heat shock protein family C member 2)	HSP90AA2P HSP90AA2 HSPC2 HSPCAL3	Homo sapiens (Human)
"P07900	Heat shock protein HSP 90-alpha"	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa (HSP 86) (HSP86)) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2 (LAP-2) (LPS-associated protein 2)) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)
"P08238	Heat shock protein HSP 90-beta"	P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa (HSP 84) (HSP84)) (Heat shock protein family C member 3)	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	Homo sapiens (Human)
"P14317	Hematopoietic lineage cell-specific protein"	P14317	HCLS1_HUMAN	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75)	HCLS1 HS1	Homo sapiens (Human)
"P31943	Heterogeneous nuclear ribonucleoprotein H"	P31943	HNRH1_HUMAN	Heterogeneous nuclear ribonucleoprotein H (hnRNP H)	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)
"P55795	Heterogeneous nuclear ribonucleoprotein H2"	P55795	HNRH2_HUMAN	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H' (hnRNP H'))	HNRNPH2 FTP3 HNRPH2	Homo sapiens (Human)
"P14866	Heterogeneous nuclear ribonucleoprotein L"	P14866	HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL	Homo sapiens (Human)
"P52272	Heterogeneous nuclear ribonucleoprotein M"	P52272	HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)
"O60506	Heterogeneous nuclear ribonucleoprotein Q"	O60506	HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein (GRY-RBP)) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)
"O43390	Heterogeneous nuclear ribonucleoprotein R"	O43390	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)
"Q00839	Heterogeneous nuclear ribonucleoprotein U"	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A (SAF-A)) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)
"Q1KMD3	Heterogeneous nuclear ribonucleoprotein U-like protein 2"	Q1KMD3	HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2 (SAF-A2))	HNRNPUL2 HNRPUL2	Homo sapiens (Human)
"B4DY08	Heterogeneous nuclear ribonucleoproteins C1/C2"	B4DY08	B4DY08_HUMAN	cDNA FLJ53542, highly similar to Heterogeneous nuclear ribonucleoproteins C		Homo sapiens (Human)
"P07910	Heterogeneous nuclear ribonucleoproteins C1/C2"	P07910	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)
"Q9BW72	HIG1 domain family member 2A, mitochondrial"	Q9BW72	HIG2A_HUMAN	HIG1 domain family member 2A, mitochondrial (RCF1 homolog B (RCF1b))	HIGD2A	Homo sapiens (Human)
"A0A024R4E5	High density lipoprotein binding protein (Vigilin), isoform CRA_a"	A0A024R4E5	A0A024R4E5_HUMAN	Vigilin (High density lipoprotein-binding protein)	HDLBP	Homo sapiens (Human)
"O00479	High mobility group nucleosome-binding domain-containing protein 4"	O00479	HMGN4_HUMAN	High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3 (Non-histone chromosomal protein))	HMGN4 HMG17L3 NHC	Homo sapiens (Human)
"P09429	High mobility group protein B1"	P09429	HMGB1_HUMAN	High mobility group protein B1 (High mobility group protein 1 (HMG-1))	HMGB1 HMG1	Homo sapiens (Human)
"P26583	High mobility group protein B2"	P26583	HMGB2_HUMAN	High mobility group protein B2 (High mobility group protein 2 (HMG-2))	HMGB2 HMG2	Homo sapiens (Human)
"Q9BX68	Histidine triad nucleotide-binding protein 2, mitochondrial"	Q9BX68	HINT2_HUMAN	Adenosine 5'-monophosphoramidase HINT2 (EC 3.9.1.-) (HINT-3) (HIT-17kDa) (Histidine triad nucleotide-binding protein 2, mitochondrial (HINT-2)) (PKCI-1-related HIT protein)	HINT2	Homo sapiens (Human)
"O95251	Histone acetyltransferase KAT7"	O95251	KAT7_HUMAN	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2 (MYST-2))	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)
"Q02539	Histone H1.1"	Q02539	H11_HUMAN	Histone H1.1 (Histone H1a)	H1-1 H1F1 HIST1H1A	Homo sapiens (Human)
"Q96KK5	Histone H2A type 1-H"	Q96KK5	H2A1H_HUMAN	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)	H2AC12 HIST1H2AH HIST1H2AI	Homo sapiens (Human)
"Q99878	Histone H2A type 1-J"	Q99878	H2A1J_HUMAN	Histone H2A type 1-J (Histone H2A/e)	H2AC14 H2AFE HIST1H2AJ	Homo sapiens (Human)
"Q8IUE6	Histone H2A type 2-B"	Q8IUE6	H2A2B_HUMAN	Histone H2A type 2-B (H2A-clustered histone 21)	H2AC21 HIST2H2AB	Homo sapiens (Human)
"Q16777	Histone H2A type 2-C"	Q16777	H2A2C_HUMAN	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	H2AC20 H2AFQ HIST2H2AC	Homo sapiens (Human)
"Q7L7L0	Histone H2A type 3"	Q7L7L0	H2A3_HUMAN	Histone H2A type 3 (H2A-clustered histone 25)	H2AC25 H2AW HIST3H2A	Homo sapiens (Human)
"P16104	Histone H2AX"	P16104	H2AX_HUMAN	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX H2AFX	Homo sapiens (Human)
"P33778	Histone H2B type 1-B"	P33778	H2B1B_HUMAN	Histone H2B type 1-B (H2B-clustered histone 3) (Histone H2B.1) (Histone H2B.f (H2B/f))	H2BC3 H2BFF HIST1H2BB	Homo sapiens (Human)
"P58876	Histone H2B type 1-D"	P58876	H2B1D_HUMAN	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b (H2B/b))	H2BC5 H2BFB HIRIP2 HIST1H2BD	Homo sapiens (Human)
"P58876	Histone H2B type 1-D"	P58876	H2B1D_HUMAN	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b (H2B/b))	H2BC5 H2BFB HIRIP2 HIST1H2BD	Homo sapiens (Human)
"O60814	Histone H2B type 1-K"	O60814	H2B1K_HUMAN	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	Homo sapiens (Human)
"O60814	Histone H2B type 1-K"	O60814	H2B1K_HUMAN	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	Homo sapiens (Human)
"O60814	Histone H2B type 1-K"	O60814	H2B1K_HUMAN	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12 H2BFT HIRIP1 HIST1H2BK	Homo sapiens (Human)
"Q99879	Histone H2B type 1-M"	Q99879	H2B1M_HUMAN	Histone H2B type 1-M (Histone H2B.e (H2B/e))	H2BC14 H2BFE HIST1H2BM	Homo sapiens (Human)
"Q99879	Histone H2B type 1-M"	Q99879	H2B1M_HUMAN	Histone H2B type 1-M (Histone H2B.e (H2B/e))	H2BC14 H2BFE HIST1H2BM	Homo sapiens (Human)
"Q5QNW6	Histone H2B type 2-F"	Q5QNW6	H2B2F_HUMAN	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18 HIST2H2BF	Homo sapiens (Human)
"Q5QNW6	Histone H2B type 2-F"	Q5QNW6	H2B2F_HUMAN	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18 HIST2H2BF	Homo sapiens (Human)
"Q5TEC6	Histone H3"	Q5TEC6	H37_HUMAN	Histone H3-7	H3-7 H3-2 HIST2H3PS2	Homo sapiens (Human)
"P62805	Histone H4"	P62805	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A H4C2 H4/I H4FI HIST1H4B H4C3 H4/G H4FG HIST1H4C H4C4 H4/B H4FB HIST1H4D H4C5 H4/J H4FJ HIST1H4E H4C6 H4/C H4FC HIST1H4F H4C8 H4/H H4FH HIST1H4H H4C9 H4/M H4FM HIST1H4I H4C11 H4/E H4FE HIST1H4J H4C12 H4/D H4FD HIST1H4K H4C13 H4/K H4FK HIST1H4L H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A H4C15 H4/O H4FO HIST2H4B H4C16 H4-16 HIST4H4	Homo sapiens (Human)
"Q8NEZ4	Histone-lysine N-methyltransferase 2C"	Q8NEZ4	KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.364) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)	KMT2C HALR KIAA1506 MLL3	Homo sapiens (Human)
"O14686	Histone-lysine N-methyltransferase 2D"	O14686	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	KMT2D ALR MLL2 MLL4	Homo sapiens (Human)
"Q96KQ7	Histone-lysine N-methyltransferase EHMT2"	Q96KQ7	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3 (H3-K9-HMTase 3)) (Lysine N-methyltransferase 1C) (Protein G9a)	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	Homo sapiens (Human)
"Q9BZ95	Histone-lysine N-methyltransferase NSD3"	Q9BZ95	NSD3_HUMAN	Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.370) (EC 2.1.1.371) (Nuclear SET domain-containing protein 3) (Protein whistle) (WHSC1-like 1 isoform 9 with methyltransferase activity to lysine) (Wolf-Hirschhorn syndrome candidate 1-like protein 1 (WHSC1-like protein 1))	NSD3 WHSC1L1	Homo sapiens (Human)
"O15047	Histone-lysine N-methyltransferase SETD1A"	O15047	SET1A_HUMAN	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A (hSET1A)) (Set1/Ash2 histone methyltransferase complex subunit SET1)	SETD1A KIAA0339 KMT2F SET1 SET1A	Homo sapiens (Human)
"A0A140T9I0	HLA class I histocompatibility antigen, A alpha chain (Fragment)"	A0A140T9I0	A0A140T9I0_HUMAN	Major histocompatibility complex, class I, A	HLA-A	Homo sapiens (Human)
"A0A140T913	HLA class I histocompatibility antigen, A alpha chain"	A0A140T913	A0A140T913_HUMAN	Major histocompatibility complex, class I, A	HLA-A	Homo sapiens (Human)
"P01889	HLA class I histocompatibility antigen, B alpha chain"	P01889	HLAB_HUMAN	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B (HLA-B))	HLA-B HLAB	Homo sapiens (Human)
"A2BF26	HLA class I histocompatibility antigen, C alpha chain"	A2BF26	A2BF26_HUMAN	Major histocompatibility complex, class I, C	HLA-C	Homo sapiens (Human)
"P79483	HLA class II histocompatibility antigen, DR beta 3 chain"	P79483	DRB3_HUMAN	HLA class II histocompatibility antigen, DR beta 3 chain (MHC class II antigen DRB3)	HLA-DRB3	Homo sapiens (Human)
"A0A140T958	HLA class II histocompatibility antigen, DRB1 beta chain (Fragment)"	A0A140T958	A0A140T958_HUMAN	Major histocompatibility complex, class II, DR beta 1	HLA-DRB1	Homo sapiens (Human)
"Q9NSC5	Homer protein homolog 3"	Q9NSC5	HOME3_HUMAN	Homer protein homolog 3 (Homer-3)	HOMER3	Homo sapiens (Human)
"A6NEM2	Host cell factor 1"	A6NEM2	A6NEM2_HUMAN	Host cell factor 1 (C1 factor)	HCFC1	Homo sapiens (Human)
"P50502	Hsc70-interacting protein"	P50502	F10A1_HUMAN	Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13 AAG2 FAM10A1 HIP SNC6	Homo sapiens (Human)
"S4R3N1	HSPE1-MOB4 readthrough"	S4R3N1	S4R3N1_HUMAN	10 kDa heat shock protein, mitochondrial (10 kDa chaperonin) (Chaperonin 10) (MOB-like protein phocein) (Mob1 homolog 3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)	HSPE1-MOB4	Homo sapiens (Human)
"P23083	Immunoglobulin heavy variable 1-2"	P23083	HV102_HUMAN	Immunoglobulin heavy variable 1-2 (Ig heavy chain V-I region ND) (Ig heavy chain V-I region V35)	IGHV1-2	Homo sapiens (Human)
"O00629	Importin subunit alpha-3"	O00629	IMA3_HUMAN	Importin subunit alpha-3 (Importin alpha Q1 (Qip1)) (Karyopherin subunit alpha-4)	KPNA4 QIP1	Homo sapiens (Human)
"Q14164	Inhibitor of nuclear factor kappa-B kinase subunit epsilon"	Q14164	IKKE_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase (IKK-i))	IKBKE IKKE IKKI KIAA0151	Homo sapiens (Human)
"Q96PE3	Inositol polyphosphate-4-phosphatase type I A"	Q96PE3	INP4A_HUMAN	Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Type I inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66))	INPP4A	Homo sapiens (Human)
"P14735	Insulin-degrading enzyme"	P14735	IDE_HUMAN	Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease (Insulinase)) (Insulysin)	IDE	Homo sapiens (Human)
"A0A494C0X7	Integrin beta"	A0A494C0X7	A0A494C0X7_HUMAN	Integrin beta	ITGB2	Homo sapiens (Human)
"A0A0A0MTH3	Integrin-linked protein kinase"	A0A0A0MTH3	A0A0A0MTH3_HUMAN	Scaffold protein ILK (ILK-1) (ILK-2) (Inactive integrin-linked kinase) (p59ILK)	ILK	Homo sapiens (Human)
"Q9BYX4	Interferon-induced helicase C domain-containing protein 1"	Q9BYX4	IFIH1_HUMAN	Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Clinically amyopathic dermatomyositis autoantigen 140 kDa (CADM-140 autoantigen)) (Helicase with 2 CARD domains (Helicard)) (Interferon-induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5 (MDA-5)) (Murabutide down-regulated protein) (RIG-I-like receptor 2 (RLR-2)) (RNA helicase-DEAD box protein 116)	IFIH1 MDA5 RH116	Homo sapiens (Human)
"O00458	Interferon-related developmental regulator 1"	O00458	IFRD1_HUMAN	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	IFRD1	Homo sapiens (Human)
"P18206	Isoform 1 of Vinculin"	P18206	VINC_HUMAN	Vinculin (Metavinculin (MV))	VCL	Homo sapiens (Human)
"O60716	Isoform 1AC of Catenin delta-1"	O60716	CTND1_HUMAN	Catenin delta-1 (Cadherin-associated Src substrate (CAS)) (p120 catenin (p120(ctn))) (p120(cas))	CTNND1 KIAA0384	Homo sapiens (Human)
"Q9NVV5	Isoform 2 of Androgen-induced gene 1 protein"	Q9NVV5	AIG1_HUMAN	Androgen-induced gene 1 protein (AIG-1) (Fatty acid esters of hydroxy fatty acids hydrolase AIG1 (FAHFA hydrolase AIG1) (EC 3.1.-.-))	AIG1	Homo sapiens (Human)
"Q676U5	Isoform 2 of Autophagy-related protein 16-1"	Q676U5	A16L1_HUMAN	Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L	Homo sapiens (Human)
"P28838	Isoform 2 of Cytosol aminopeptidase"	P28838	AMPL_HUMAN	Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase (EC 3.4.13.23)) (Leucine aminopeptidase 3 (LAP-3)) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase (EC 3.4.11.5)) (Prolyl aminopeptidase)	LAP3 LAPEP PEPS	Homo sapiens (Human)
"Q96AE4	Isoform 2 of Far upstream element-binding protein 1"	Q96AE4	FUBP1_HUMAN	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V (hDH V))	FUBP1	Homo sapiens (Human)
"Q9NVK5	Isoform 2 of FGFR1 oncogene partner 2"	Q9NVK5	FGOP2_HUMAN	FGFR1 oncogene partner 2	FGFR1OP2	Homo sapiens (Human)
"P04075	Isoform 2 of Fructose-bisphosphate aldolase A"	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)
"P00390	Isoform 2 of Glutathione reductase, mitochondrial"	P00390	GSHR_HUMAN	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	GSR GLUR GRD1	Homo sapiens (Human)
"Q9HC38	Isoform 2 of Glyoxalase domain-containing protein 4"	Q9HC38	GLOD4_HUMAN	Glyoxalase domain-containing protein 4	GLOD4 C17orf25	Homo sapiens (Human)
"O43390	Isoform 2 of Heterogeneous nuclear ribonucleoprotein R"	O43390	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)
"Q00839	Isoform 2 of Heterogeneous nuclear ribonucleoprotein U"	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A (SAF-A)) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)
"Q5VZF2	Isoform 2 of Muscleblind-like protein 2"	Q5VZF2	MBNL2_HUMAN	Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)	MBNL2 MBLL MBLL39 MLP1	Homo sapiens (Human)
"P62937	Isoform 2 of Peptidyl-prolyl cis-trans isomerase A"	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A)	PPIA CYPA	Homo sapiens (Human)
"Q96P11	Isoform 2 of Probable 28S rRNA (cytosine-C(5))-methyltransferase"	Q96P11	NSUN5_HUMAN	28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (NOL1-related protein (NOL1R)) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)	NSUN5 NSUN5A WBSCR20 WBSCR20A	Homo sapiens (Human)
"P36873	Isoform 2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit"	P36873	PP1G_HUMAN	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	Homo sapiens (Human)
"Q96B97	Isoform 2 of SH3 domain-containing kinase-binding protein 1"	Q96B97	SH3K1_HUMAN	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3 (CD2BP3)) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1 (HSB-1))	SH3KBP1 CIN85	Homo sapiens (Human)
"Q01082	Isoform 2 of Spectrin beta chain, non-erythrocytic 1"	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)
"P60174	Isoform 2 of Triosephosphate isomerase"	P60174	TPIS_HUMAN	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase (EC 4.2.3.3)) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)
"O95218	Isoform 2 of Zinc finger Ran-binding domain-containing protein 2"	O95218	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)
"P15170	Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A"	P15170	ERF3A_HUMAN	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog)	GSPT1 ERF3A	Homo sapiens (Human)
"P61978	Isoform 3 of Heterogeneous nuclear ribonucleoprotein K"	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein (TUNP))	HNRNPK HNRPK	Homo sapiens (Human)
