From accession	From entry name	Gene used	To accession	To entry name	Outcome
A0A2R8Y5S7	A0A2R8Y5S7_HUMAN	RDX	P35241	RADI_HUMAN	canonicalised
A0A2R8Y793	A0A2R8Y793_HUMAN	ACTB	P60709	ACTB_HUMAN	canonicalised
A0A2R8Y811	A0A2R8Y811_HUMAN	RPS14	P62263	RS14_HUMAN	canonicalised
A0A2R8YH03	A0A2R8YH03_HUMAN	TASOR2	Q5VWN6	TASO2_HUMAN	canonicalised
A0A3B3ISI3	A0A3B3ISI3_HUMAN	INPP5F	Q9Y2H2	SAC2_HUMAN	canonicalised
A0A3F2YNW8	A0A3F2YNW8_HUMAN	ITPR1	Q14643	ITPR1_HUMAN	canonicalised
A0A494C0G1	A0A494C0G1_HUMAN	PGM3	O95394	AGM1_HUMAN	canonicalised
A0A494C0X7	A0A494C0X7_HUMAN	ITGB2	P05107	ITB2_HUMAN	canonicalised
A0A494C0Z5	A0A494C0Z5_HUMAN	RAB33B	Q9H082	RB33B_HUMAN	canonicalised
A0A494C165	A0A494C165_HUMAN	PEPD	P12955	PEPD_HUMAN	canonicalised
A0A499FIJ6	A0A499FIJ6_HUMAN	MRTFA	Q969V6	MRTFA_HUMAN	canonicalised
A0A590UJW8	A0A590UJW8_HUMAN	ITCH	Q96J02	ITCH_HUMAN	canonicalised
A0A590UK19	A0A590UK19_HUMAN	CCDC30	Q5VVM6	CCD30_HUMAN	canonicalised
A0A590UK20	A0A590UK20_HUMAN	ANKRD30B	Q9BXX2	AN30B_HUMAN	canonicalised
A0A5F9ZHG7	A0A5F9ZHG7_HUMAN	RAPGEF6	Q8TEU7	RPGF6_HUMAN	canonicalised
A0A5F9ZHR3	A0A5F9ZHR3_HUMAN	SYNE1	Q8NF91	SYNE1_HUMAN	canonicalised
A0A5H1ZRP4	A0A5H1ZRP4_HUMAN	NELFB	Q8WX92	NELFB_HUMAN	canonicalised
A0A5H1ZRS1	A0A5H1ZRS1_HUMAN	PCM1			kept: 2 reviewed entries for this gene
A0A5K1VW74	A0A5K1VW74_HUMAN	AKT3	Q9Y243	AKT3_HUMAN	canonicalised
A2A2V2	A2A2V2_HUMAN	RBM34	P42696	RBM34_HUMAN	canonicalised
A2BF26	A2BF26_HUMAN	HLA-C	P10321	HLAC_HUMAN	canonicalised
A6NEM2	A6NEM2_HUMAN	HCFC1	P51610	HCFC1_HUMAN	canonicalised
A6NFX8	A6NFX8_HUMAN	NUDT5	Q9UKK9	NUDT5_HUMAN	canonicalised
A6NKB8	A6NKB8_HUMAN	RNPEP	Q9H4A4	AMPB_HUMAN	canonicalised
A8MUM1	A8MUM1_HUMAN	EIPR1	Q53HC9	EIPR1_HUMAN	canonicalised
A8MXP9	A8MXP9_HUMAN	MATR3	P43243	MATR3_HUMAN	canonicalised
B4DM10	B4DM10_HUMAN				kept: no gene name
B4DM58	B4DM58_HUMAN				kept: no gene name
B4DMJ5	B4DMJ5_HUMAN				kept: no gene name
B4DY08	B4DY08_HUMAN				kept: no gene name
B7Z596	B7Z596_HUMAN				kept: no gene name
B8ZZ87	B8ZZ87_HUMAN	MZT2B	Q6NZ67	MZT2B_HUMAN	canonicalised
B9EGQ5	B9EGQ5_HUMAN	WIZ	O95785	WIZ_HUMAN	canonicalised
B9ZVT1	B9ZVT1_HUMAN	RBM12B	Q8IXT5	RB12B_HUMAN	canonicalised
C9J2Y9	C9J2Y9_HUMAN	POLR2B	P30876	RPB2_HUMAN	canonicalised
C9JYA1	C9JYA1_HUMAN	NUP42	O15504	NUP42_HUMAN	canonicalised
D6R992	D6R992_HUMAN	RELB	Q01201	RELB_HUMAN	canonicalised
D6RDA2	D6RDA2_HUMAN	DEK	P35659	DEK_HUMAN	canonicalised
E5RG91	E5RG91_HUMAN	VPS37A	Q8NEZ2	VP37A_HUMAN	canonicalised
E5RHK8	E5RHK8_HUMAN	DNM3	Q9UQ16	DYN3_HUMAN	canonicalised
E7END7	E7END7_HUMAN	RAB1A	P62820	RAB1A_HUMAN	canonicalised
E7EQ69	E7EQ69_HUMAN	NAA50	Q9GZZ1	NAA50_HUMAN	canonicalised
E7ETY2	E7ETY2_HUMAN	TCOF1	Q13428	TCOF_HUMAN	canonicalised
E7EVJ5	E7EVJ5_HUMAN	CYFIP2	Q96F07	CYFP2_HUMAN	canonicalised
E7EVL6	E7EVL6_HUMAN	REPIN1	Q9BWE0	REPI1_HUMAN	canonicalised
E7EW49	E7EW49_HUMAN	CLASP2	O75122	CLAP2_HUMAN	canonicalised
E9PAM4	E9PAM4_HUMAN				kept: no gene name
E9PD50	E9PD50_HUMAN	SMG7	Q92540	SMG7_HUMAN	canonicalised
E9PLK3	E9PLK3_HUMAN	NPEPPS	P55786	PSA_HUMAN	canonicalised
E9PM13	E9PM13_HUMAN	HSPA8	P11142	HSP7C_HUMAN	canonicalised
E9PP16	E9PP16_HUMAN	PPFIBP2	Q8ND30	LIPB2_HUMAN	canonicalised
E9PSI1	E9PSI1_HUMAN				kept: no gene name
F2Z2U4	F2Z2U4_HUMAN	TRRAP	Q9Y4A5	TRRAP_HUMAN	canonicalised
F8VWV9	F8VWV9_HUMAN	TUBA1B	P68363	TBA1B_HUMAN	canonicalised
F8W1R7	F8W1R7_HUMAN	MYL6	P60660	MYL6_HUMAN	canonicalised
F8W689	F8W689_HUMAN	RFX5	P48382	RFX5_HUMAN	canonicalised
F8W7C6	F8W7C6_HUMAN	RPL10	P27635	RL10_HUMAN	canonicalised
F8W9P4	F8W9P4_HUMAN	PIK3CD	O00329	PK3CD_HUMAN	canonicalised
F8WCU9	F8WCU9_HUMAN	ARID2	Q68CP9	ARID2_HUMAN	canonicalised
G3V1S3	G3V1S3_HUMAN	DENND5B	Q6ZUT9	DEN5B_HUMAN	canonicalised
G3V325	G3V325_HUMAN	ATP5MF-PTCD1			kept: no reviewed entry for this gene
G3V5T0	G3V5T0_HUMAN	GSTZ1	O43708	MAAI_HUMAN	canonicalised
G3V5X4	G3V5X4_HUMAN	SYNE2	Q8WXH0	SYNE2_HUMAN	canonicalised
H0Y498	H0Y498_HUMAN	EDEM3	Q9BZQ6	EDEM3_HUMAN	canonicalised
H0YEX5	H0YEX5_HUMAN	SF3B2	Q13435	SF3B2_HUMAN	canonicalised
H0YFN7	H0YFN7_HUMAN	RIC1	Q4ADV7	RIC1_HUMAN	canonicalised
H3BNC9	H3BNC9_HUMAN				kept: no gene name
H7BY16	H7BY16_HUMAN	NCL	P19338	NUCL_HUMAN	canonicalised
H9KVB4	H9KVB4_HUMAN	TNRC18	O15417	TNC18_HUMAN	canonicalised
I3L0R8	I3L0R8_HUMAN	DERL2	Q9GZP9	DERL2_HUMAN	canonicalised
J3KMY0	J3KMY0_HUMAN	CDCA3	Q99618	CDCA3_HUMAN	canonicalised
J3KN16	J3KN16_HUMAN	ECPAS	Q5VYK3	ECM29_HUMAN	canonicalised
J3KNI1	J3KNI1_HUMAN	COG4	Q9H9E3	COG4_HUMAN	canonicalised
J3KNV1	J3KNV1_HUMAN	ZNF292	O60281	ZN292_HUMAN	canonicalised
J3KP15	J3KP15_HUMAN	SRSF2	Q01130	SRSF2_HUMAN	canonicalised
J3KPF0	J3KPF0_HUMAN	HECTD4	Q9Y4D8	HECD4_HUMAN	canonicalised
J3KSU3	J3KSU3_HUMAN	CCDC178	Q5BJE1	CC178_HUMAN	canonicalised
J3QLU9	J3QLU9_HUMAN	ERBB2	P04626	ERBB2_HUMAN	canonicalised
K7EJ20	K7EJ20_HUMAN	GPX4	P36969	GPX4_HUMAN	canonicalised
K7EM38	K7EM38_HUMAN	ACTG1	P63261	ACTG_HUMAN	canonicalised
K7ENF0	K7ENF0_HUMAN	NARS1	O43776	SYNC_HUMAN	canonicalised
K7ESG5	K7ESG5_HUMAN	PSME3	P61289	PSME3_HUMAN	canonicalised
Q32Q12	Q32Q12_HUMAN	NME1-NME2			kept: no reviewed entry for this gene
Q5JUW8	Q5JUW8_HUMAN	DLG3			kept: 2 reviewed entries for this gene
Q5JXX2	Q5JXX2_HUMAN	MORF4L2	Q15014	MO4L2_HUMAN	canonicalised
Q5ST81	Q5ST81_HUMAN	TUBB	P07437	TBB5_HUMAN	canonicalised
Q5SZE1	Q5SZE1_HUMAN	CERS2	Q96G23	CERS2_HUMAN	canonicalised
Q5T123	Q5T123_HUMAN	SH3BGRL3	Q9H299	SH3L3_HUMAN	canonicalised
Q5TDE7	Q5TDE7_HUMAN	RNF220	Q5VTB9	RN220_HUMAN	canonicalised
Q5VZU9	Q5VZU9_HUMAN	TPP2	P29144	TPP2_HUMAN	canonicalised
R4GMQ1	R4GMQ1_HUMAN	KDM1A	O60341	KDM1A_HUMAN	canonicalised
S4R3N1	S4R3N1_HUMAN	HSPE1-MOB4			kept: no reviewed entry for this gene
U3KQK2	U3KQK2_HUMAN	TPM2	P07951	TPM2_HUMAN	canonicalised
