From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial"	P30084	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1 (ECHS1)) (Short-chain enoyl-CoA hydratase (SCEH))	ECHS1	Homo sapiens (Human)	auto	
"HYEP_HUMAN	Epoxide hydrolase 1"	P07099	HYEP_HUMAN	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase (mEH))	EPHX1 EPHX EPOX	Homo sapiens (Human)	auto	
"IF4B_HUMAN	Eukaryotic translation initiation factor 4B"	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	auto	
"IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1"	P63241	IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1 (eIF-5A)) (Rev-binding factor) (eIF-4D)	EIF5A	Homo sapiens (Human)	auto	
"FLNC_HUMAN	Filamin-C"	Q14315	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	auto	
"GSTO1_HUMAN	Glutathione S-transferase omega-1"	P78417	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1 (GSTO 1-1)) (Glutathione-dependent dehydroascorbate reductase (EC 1.8.5.1)) (Monomethylarsonic acid reductase (MMA(V) reductase) (EC 1.20.4.2)) (S-(Phenacyl)glutathione reductase (SPG-R))	GSTO1 GSTTLP28	Homo sapiens (Human)	auto	
"G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase"	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH (EC 2.6.99.-))	GAPDH GAPD	Homo sapiens (Human)	auto	
"HSPB1_HUMAN	Heat shock protein beta-1"	P04792	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein (HSP 27)) (Heat shock protein family B member 1) (Stress-responsive protein 27 (SRP27))	HSPB1 HSP27 HSP28	Homo sapiens (Human)	auto	
"HS90A_HUMAN	Heat shock protein HSP 90- alpha"	P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa (HSP 86) (HSP86)) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2 (LAP-2) (LPS-associated protein 2)) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA	Homo sapiens (Human)	auto	
"HNRPF_HUMAN	Heterogeneous nuclear ribonucleoprotein F"	P52597	HNRPF_HUMAN	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1)	HNRNPF HNRPF	Homo sapiens (Human)	auto	
"HYOU1_HUMAN	Hypoxia up-regulated protein 1"	Q9Y4L1	HYOU1_HUMAN	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein (ORP-150)) (170 kDa glucose-regulated protein (GRP-170)) (Heat shock protein family H member 4)	HYOU1 GRP170 HSPH4 ORP150	Homo sapiens (Human)	auto	
"ITB1_HUMAN	Integrin beta-1"	P05556	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa (GPIIA)) (VLA-4 subunit beta)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	auto	
"ILF2_HUMAN	Interleukin enhancer-binding factor 2"	Q12905	ILF2_HUMAN	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45	Homo sapiens (Human)	auto	
"ILF3_HUMAN	Interleukin enhancer-binding factor 3"	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76 (DRBP76)) (M-phase phosphoprotein 4 (MPP4)) (Nuclear factor associated with dsRNA (NFAR)) (Nuclear factor of activated T-cells 90 kDa (NF-AT-90)) (Translational control protein 80 (TCP80))	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	auto	
"E41L3_HUMAN	Isoform 2 of Band 4.1-like protein 3"	Q9Y2J2	E41L3_HUMAN	Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1 (DAL-1)) (Erythrocyte membrane protein band 4.1-like 3)	EPB41L3 DAL1 KIAA0987	Homo sapiens (Human)	auto	
"GELS_HUMAN	Isoform 2 of Gelsolin"	P06396	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor (ADF)) (Brevin)	GSN	Homo sapiens (Human)	auto	
"TPM3_HUMAN	Isoform 2 of Tropomyosin alpha-3 chain"	P06753	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5 (hTM5))	TPM3	Homo sapiens (Human)	auto	
"VAPA_HUMAN	Isoform 2 of Vesicle- associated membrane protein- associated protein A"	Q9P0L0	VAPA_HUMAN	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein (VAP-33))	VAPA VAP33	Homo sapiens (Human)	auto	
"NDKB_HUMAN	Isoform 3 of Nucleoside diphosphate kinase B"	P22392	NDKB_HUMAN	Nucleoside diphosphate kinase B (NDP kinase B) (NDPK B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB (EC 2.7.13.3)) (Nucleoside diphoshate kinase 2 (NDK2)) (nm23-H2)	NME2 NDK2 NM23B	Homo sapiens (Human)	auto	
"CD44_HUMAN	Isoform 7 of CD44 antigen"	P16070	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III (ECMR-III)) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1 (PGP-1)) (Phagocytic glycoprotein I (PGP-I))	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	auto	
"FUMH_HUMAN	Isoform Cytoplasmic of Fumarate hydratase, mitochondrial"	P07954	FUMH_HUMAN	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH	Homo sapiens (Human)	auto	
"LDHA_HUMAN	L-lactate dehydrogenase A"	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit (LDH-M)) (Renal carcinoma antigen NY-REN-59)	LDHA	Homo sapiens (Human)	auto	
"LAP2A_HUMAN	Lamina-associated polypeptide 2, isoforms beta/gamma"	P42166	LAP2A_HUMAN	Lamina-associated polypeptide 2, isoform alpha (Thymopoietin isoform alpha (TP alpha)) (Thymopoietin-related peptide isoform alpha (TPRP isoform alpha))	TMPO LAP2	Homo sapiens (Human)	auto	
"LAMC1_HUMAN	Laminin subunit gamma-1"	P11047	LAMC1_HUMAN	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma (S-LAM gamma))	LAMC1 LAMB2	Homo sapiens (Human)	auto	
"LPPRC_HUMAN	Leucine-rich PPR motif- containing protein, mitochondrial"	P42704	LPPRC_HUMAN	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein (LRP 130)) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	auto	
"LIMA1_HUMAN	LIM domain and actin-binding protein 1"	Q9UHB6	LIMA1_HUMAN	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3	Homo sapiens (Human)	auto	
"LA_HUMAN	Lupus La protein"	P05455	LA_HUMAN	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen (SS-B))	SSB	Homo sapiens (Human)	auto	
"MRP_HUMAN	MARCKS-related protein"	P49006	MRP_HUMAN	MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate (Mac-MARCKS) (MacMARCKS))	MARCKSL1 MLP MRP	Homo sapiens (Human)	auto	
"PGRC1_HUMAN	Membrane-associated progesterone receptor component 1"	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	Homo sapiens (Human)	auto	
"PUR6_HUMAN	Multifunctional protein ADE2 (Fragment)"	P22234	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS)	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	auto	
"MCFD2_HUMAN	Multiple coagulation factor deficiency protein 2"	Q8NI22	MCFD2_HUMAN	Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)	MCFD2 SDNSF	Homo sapiens (Human)	auto	
"MARCS_HUMAN	Myristoylated alanine-rich C- kinase substrate"	P29966	MARCS_HUMAN	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain (80K-L protein) (PKCSL))	MARCKS MACS PRKCSL	Homo sapiens (Human)	auto	
"NRDC_HUMAN	Nardilysin"	O43847	NRDC_HUMAN	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase (NRD convertase) (NRD-C)) (Nardilysin convertase)	NRDC NRD1	Homo sapiens (Human)	auto	
"NACAM_HUMAN	Nascent polypeptide- associated complex subunit"	E9PAV3	NACAM_HUMAN	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form (skNAC))	NACA	Homo sapiens (Human)	auto	
"NUCB2_HUMAN	Nucleobindin 2, isoform CRA_b"	P80303	NUCB2_HUMAN	Nucleobindin-2 (DNA-binding protein NEFA) (Epididymis secretory protein Li 109) (Gastric cancer antigen Zg4) (Prepronesfatin)	NUCB2 NEFA	Homo sapiens (Human)	auto	
"NPM_HUMAN	Nucleophosmin"	P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	auto	
"PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A"	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A)	PPIA CYPA	Homo sapiens (Human)	auto	
"PRDX6_HUMAN	Peroxiredoxin-6"	P30041	PRDX6_HUMAN	Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin (1-Cys PRX)) (24 kDa protein) (Acidic calcium-independent phospholipase A2 (aiPLA2) (EC 3.1.1.4)) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Liver 2D page spot 40) (Lysophosphatidylcholine acyltransferase 5 (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23)) (Non-selenium glutathione peroxidase (NSGPx)) (Red blood cells page spot 12)	PRDX6 AOP2 KIAA0106	Homo sapiens (Human)	auto	
"PEBP1_HUMAN	Phosphatidylethanolamine- binding protein 1"	P30086	PEBP1_HUMAN	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein (RKIP))	PEBP1 PBP PEBP	Homo sapiens (Human)	auto	
"PREP_HUMAN	Presequence protease, mitochondrial"	Q5JRX3	PREP_HUMAN	Presequence protease, mitochondrial (hPreP) (EC 3.4.24.-) (Pitrilysin metalloproteinase 1 (Metalloprotease 1) (hMP1))	PITRM1 KIAA1104 MP1 PREP	Homo sapiens (Human)	auto	
"PROF1_HUMAN	Profilin-1"	P07737	PROF1_HUMAN	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	Homo sapiens (Human)	auto	
"PHB2_HUMAN	Prohibitin-2"	Q99623	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)	auto	
"SAP_HUMAN	Prosaposin"	P07602	SAP_HUMAN	Prosaposin (Proactivator polypeptide)	PSAP GLBA SAP1	Homo sapiens (Human)	auto	
"PARK7_HUMAN	Protein deglycase DJ-1"	Q99497	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1 (DJ-1)) (Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124))	PARK7	Homo sapiens (Human)	auto	
"DEK_HUMAN	Protein DEK"	P35659	DEK_HUMAN	Protein DEK	DEK	Homo sapiens (Human)	auto	
"LMAN1_HUMAN	Protein ERGIC-53"	P49257	LMAN1_HUMAN	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	LMAN1 ERGIC53 F5F8D	Homo sapiens (Human)	auto	
"LZIC_HUMAN	Protein LZIC"	Q8WZA0	LZIC_HUMAN	Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein)	LZIC	Homo sapiens (Human)	auto	
"S10AA_HUMAN	Protein S100-A10"	P60903	S10AA_HUMAN	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11	Homo sapiens (Human)	auto	
"S10AD_HUMAN	Protein S100-A13"	Q99584	S10AD_HUMAN	Protein S100-A13 (S100 calcium-binding protein A13)	S100A13	Homo sapiens (Human)	auto	
"SC61B_HUMAN	Protein transport protein Sec61 subunit beta"	P60468	SC61B_HUMAN	Protein transport protein Sec61 subunit beta	SEC61B	Homo sapiens (Human)	auto	
"KPYM_HUMAN	Pyruvate kinase PKM"	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein (CTHBP)) (Opa-interacting protein 3 (OIP-3)) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2 (EC 2.7.11.1)) (Thyroid hormone-binding protein 1 (THBP1)) (Tumor M2-PK) (Tyrosine-protein kinase PKM2 (EC 2.7.10.2)) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	auto	
"GDIB_HUMAN	Rab GDP dissociation inhibitor beta"	P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2 (GDI-2))	GDI2 RABGDIB	Homo sapiens (Human)	auto	
"RCN3_HUMAN	Reticulocalbin-3"	Q96D15	RCN3_HUMAN	Reticulocalbin-3 (EF-hand calcium-binding protein RLP49)	RCN3	Homo sapiens (Human)	auto	
"RTN3_HUMAN	Reticulon-3"	O95197	RTN3_HUMAN	Reticulon-3 (Homolog of ASY protein (HAP)) (Neuroendocrine-specific protein-like 2 (NSP-like protein 2)) (Neuroendocrine-specific protein-like II (NSP-like protein II) (NSPLII))	RTN3 ASYIP NSPL2	Homo sapiens (Human)	auto	
"GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1"	P52565	GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	auto	
"SKP1_HUMAN	S-phase kinase-associated protein 1"	P63208	SKP1_HUMAN	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19 (p19A)) (Organ of Corti protein 2 (OCP-2)) (Organ of Corti protein II (OCP-II)) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	auto	
"SEPT2_HUMAN	Septin-2"	Q15019	SEPT2_HUMAN	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5 (NEDD-5))	SEPTIN2 DIFF6 KIAA0158 NEDD5 SEPT2	Homo sapiens (Human)	auto	
"SURF4_HUMAN	Surfeit locus protein 4"	O15260	SURF4_HUMAN	Surfeit locus protein 4	SURF4 SURF-4	Homo sapiens (Human)	auto	
"TMF1_HUMAN	TATA element modulatory factor"	P82094	TMF1_HUMAN	TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)	TMF1 ARA160	Homo sapiens (Human)	auto	
"TXND5_HUMAN	Thioredoxin domain- containing protein 5"	Q8NBS9	TXND5_HUMAN	Thioredoxin domain-containing protein 5 (EC 1.8.4.-) (EC 5.3.4.1) (Endoplasmic reticulum resident protein 46 (ER protein 46) (ERp46)) (Thioredoxin-like protein p46)	TXNDC5 TLP46	Homo sapiens (Human)	auto	
"PRDX3_HUMAN	Thioredoxin-dependent peroxide reductase, mitochondrial"	P30048	PRDX3_HUMAN	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (Antioxidant protein 1 (AOP-1)) (HBC189) (Peroxiredoxin III (Prx-III)) (Peroxiredoxin-3) (Protein MER5 homolog) (Thioredoxin-dependent peroxiredoxin 3)	PRDX3 AOP1	Homo sapiens (Human)	auto	
"TALDO_HUMAN	Transaldolase"	P37837	TALDO_HUMAN	Transaldolase (EC 2.2.1.2)	TALDO1 TAL TALDO TALDOR	Homo sapiens (Human)	auto	
"TAGL2_HUMAN	Transgelin-2"	P37802	TAGL2_HUMAN	Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)	TAGLN2 KIAA0120	Homo sapiens (Human)	auto	
"TMED9_HUMAN	Transmembrane emp24 domain-containing protein 9"	Q9BVK6	TMED9_HUMAN	Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2 (p24alpha2)) (p25)	TMED9 GP25L2	Homo sapiens (Human)	auto	
"UCHL1_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L1"	P09936	UCHL1_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5 (PGP9.5)) (Ubiquitin thioesterase L1)	UCHL1	Homo sapiens (Human)	auto	
"UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N"	P61088	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)	UBE2N BLU	Homo sapiens (Human)	auto	
"E9PAM4_HUMAN	Uncharacterized protein"	E9PAM4	E9PAM4_HUMAN	Phosphatidylinositol 4-kinase type 2 (EC 2.7.1.67)		Homo sapiens (Human)	auto	
"ACADV_HUMAN	Very long-chain specific acyl- CoA dehydrogenase, mitochondrial"	P49748	ACADV_HUMAN	Very long-chain acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9) (Long-chain acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.8))	ACADVL VLCAD	Homo sapiens (Human)	auto	
"VAMP3_HUMAN	Vesicle-associated membrane protein 3"	Q15836	VAMP3_HUMAN	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin (CEB)) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	auto	
"VDAC2_HUMAN	Voltage-dependent anion- selective channel protein 2"	P45880	VDAC2_HUMAN	Non-selective voltage-gated ion channel VDAC2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2)	VDAC2	Homo sapiens (Human)	auto	
"XRCC5_HUMAN	X-ray repair cross- complementing protein 5"	P13010	XRCC5_HUMAN	DNA repair protein Ku80 (EC 4.2.99.18) (EC 5.6.2.4) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit (CTC85) (CTCBF)) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen (TLAA)) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)) (X-ray repair cross-complementing protein 5)	XRCC5 G22P2	Homo sapiens (Human)	auto	
"XRCC6_HUMAN	X-ray repair cross- complementing protein 6"	P12956	XRCC6_HUMAN	DNA repair protein Ku70 (EC 4.2.99.18) (EC 5.6.2.4) (5'-deoxyribose-5-phosphate lyase Ku70 (5'-dRP lyase Ku70)) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit (CTC75) (CTCBF)) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70 (Ku70)) (Thyroid-lupus autoantigen (TLAA)) (X-ray repair complementing defective repair in Chinese hamster cells 6) (X-ray repair cross-complementing protein 6)	XRCC6 G22P1	Homo sapiens (Human)	auto	
